elder_speech,english
a'baeth,kiss
a'baeth,to kiss
abb,mouth
addan,dance
adan,dance
addan,dancer
adan,dancer
addan,dancing
adan,dancing
adhart,forward
aé,I
aecáemm,to follow
aedd,shard
aedd,piece
aef,to have
aef,has
aefder,later
aefder,after
aen,from
aen,to
aen,for
aen,with
aen,of
aen,in
aen,out of
aen,at
aen,by
aen,down
aen,into
aen,until
aen,on
aen,like
aen,as
aen'drean,enter
aenye,fire
aesledde,ride on a sleigh
aesledde,ride on a sledge
aespar,to shoot
aëte,summer
aevon,river
aep,of
aép,in
aép,to
agwetheill,to open
agwethill,to open
aine,light
aine,enlightened
an,small
an,a
an,an
an'givare,informer
an'givare,spy
a'taeghane,today
ar,of
ard,mountain
ard,mountainous
ard,upper
ard,top
ard,the highest
arse,arse
arse,ass
arse,butt
arse,rump
ban,peak
ban,summit
ban,place
ban,village
beag,little
beanna,woman
beann'shie,banshee
belean'graec,important
Birke,the fourth savaed in the elven calendar
Birke,Spring Equinox
blath,flower
blathan,garland
blathan,flowers
blathanna,flowers'
blathe,the fifth savaed in the elven calendar
blathe,flowering
bleidd,wolf
bloed,blood
bloed,silly
bloede,bloody
bloede,gory
bloede,damn
bloede,bloody hell
broggha,frog
breoga,frog
Brokiloéne,of Brokilon
Brokiloéne,Brokiloni
caed,forest
caed,grove
cáelm,calm
cáelm,peaceful
cáelm,quiet
cáelm,slowly
cáelm,quietly
cáelm,quieten
cáemm,to go
cáemm,arrive
caen,can
caer,fortress
caer,castle
caer,keep
cáerme,fate
cáerme,destiny
Cáerme,Destiny
carn,kurgan
carn,barrow
carn,burial mound
carn,cairn
carraigh,rock
ceádmil,greet
ceádmil,greetings
ceád'mil,greet
ceád'mil,greetings
ceas'raet,empire
ceann,head
ceann,tip
ceann,end
cerbin,raven
cinerea,Ilyocoris
col,pass
coram,lion
conyn,stalk
craag,rock
craag,cliff
creasa,must
creasa,necessity
creasa,obligation
creasa,inevitability
creasa,duty
crevan,fox
daetre,behind
daetre,back
daerienn,sorceress
daerienn,sorceresses
darganfod,discover
darganfod,discovery
darganfod,discovered
darl'len,read
dearg,red
dearme,sleep
dearme,good night
deien,to serve
deireádh,end
deireádh,last
deireádh,finish
deith,flame
deithwen,white flame
dh'oine,human
dhu,black
dice,to speak
dice,to talk
dol,dale
dol,dell
dol,vale
dol,valley
drád,face
drelch,beast
d'yaebl,devil
easnadh,sigh
eate,summer
eigean,necessary
eigean,must
eigean,have to
eimyr,hedgehog
elaine,fair
elaine,beautiful
elle,of alder
ell'ea,okay
ell'ea,alright
ell'ea,correct
en,indefinite article
en'leass,laced
en'leass,tied
enid,daisy
ensh'eass,enchanting
ensh'eass,enthralling
ensh'eass,charming
ensh'eass,glamorous
ess,to be
ess,is
esse,will be
esse,will
essea,I am
esseath,you are
evall,horse
evellienn,everything
evellienn,all
evellienn,everybody
evellienn,everyone
evn'gesaen,ambassador
feainn,sun
feainn,also the sixth savaed in the elven calendar
feainnewedd,Sun-Child
feainnewedd,Child of the Sun
fen,meadow
fen,pasture
foilé,frantic
foilé,mad
foile,frenzy
fraeren,brothers
gaeth,gate
gaeth,portal
gàidh,garden
gar'ean,note
gar'ean,consider
gar'ean,be careful
geas,curse
geehaet,hard
ghar,word
gláeddyv,sword
glaeddyvan,swords
glamarye,glamout
glean,bottom
glean,low
gleanna,of valleys
gloir,glory
